timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude,ok1,ok2,estimatedHeight
244,45.6693,0,0,0,0,0
245,45.6692,0,0,0,0,0
246,45.6693,0,0,0,0,0
247,45.6692,0,0,0,0,0
248,45.6692,0,0,0,0,0
249,45.6692,0,0,0,0,0
250,45.6748,0,0,0,0,0
251,45.6748,0,0,0,0,0
252,45.6748,0,0,0,0,0
253,45.6749,0,0,0,0,0
254,45.6748,0,0,0,0,0
255,45.6748,0,0,0,0,0
256,45.6718,0,0,0,0,0
257,45.6719,0,0,0,0,0
258,45.6719,0,0,0,0,0
259,45.672,0,0,0,0,0
260,45.6774,0,0,0,0,0
261,45.6776,0,0,0,0,0
262,45.6775,0,0,0,0,0
263,45.6775,0,0,0,0,0
264,45.6775,0,0,0,0,0
265,45.6775,0,0,0,0,0
266,45.6775,0,0,0,0,0
267,45.6776,0,0,0,0,0
268,45.6775,0,0,0,0,0
269,45.6775,0,0,0,0,0
270,45.6774,0,0,0,0,0
271,45.6871,0,0,0,0,0
272,45.6872,0,0,0,0,0
273,45.6872,0,0,0,0,0
274,45.6873,0,0,0,0,0
275,45.6872,0,0,0,0,0
276,45.6741,0,0,0,0,0
277,45.6742,0,0,0,0,0
278,45.6742,0,0,0,0,0
279,45.6742,0,0,0,0,0
280,45.6742,0,0,0,0,0
281,45.6839,0,0,0,0,0
282,45.6839,0,0,0,0,0
283,45.6839,0,0,0,0,0
284,45.6839,0,0,0,0,0
285,45.684,0,0,0,0,0
286,45.6839,0,0,0,0,0
287,45.684,0,0,0,0,0
288,45.684,0,0,0,0,0
289,45.684,0,0,0,0,0
290,45.684,0,0,0,0,0
291,45.684,0,0,0,0,0
292,45.6895,0,0,0,0,0
293,45.6896,0,0,0,0,0
294,45.6897,0,0,0,0,0
295,45.6896,0,0,0,0,0
296,45.6713,0,0,0,0,0
297,45.6713,0,0,0,0,0
298,45.6712,0,0,0,0,0
299,45.6713,0,0,0,0,0
300,45.6713,0,0,0,0,0
301,45.6713,0,0,0,0,0
302,45.6768,0,0,0,0,0
303,45.6768,0,0,0,0,0
304,45.6769,0,0,0,0,0
305,45.6768,0,0,0,0,0
306,45.6768,0,0,0,0,0
307,45.6769,0,0,0,0,0
308,45.6768,0,0,0,0,0
309,45.6768,0,0,0,0,0
310,45.6768,0,0,0,0,0
311,45.6768,0,0,0,0,0
312,45.6767,0,0,0,0,0
313,45.6824,0,0,0,0,0
314,45.6824,0,0,0,0,0
315,45.6823,0,0,0,0,0
316,45.6689,0,0,0,0,0
317,45.669,0,0,0,0,0
318,45.6689,0,0,0,0,0
319,45.6689,0,0,0,0,0
320,45.6689,0,0,0,0,0
321,45.6688,0,0,0,0,0
322,45.6689,0,0,0,0,0
323,45.6654,0,0,0,0,0
324,45.6655,0,0,0,0,0
325,45.6654,0,0,0,0,0
326,45.6654,0,0,0,0,0
327,45.6654,0,0,0,0,0
328,45.6653,0,0,0,0,0
329,45.6653,0,0,0,0,0
330,45.6653,0,0,0,0,0
331,45.6653,0,0,0,0,0
